id, check, score, max_score, error_var, good_var, message
m1, _particle_charges, 1, 1, [], ['particles.f4.charge', 'particles.f1.charge', 'particles.f5.charge', 'particles.f2.charge', 'particles.f6.charge', 'particles.f3.charge', 'fields.m1.self_conjugate'], Passed
m1, _all_particle_pass, 1, 1, [], ['particles.f4.charge', 'particles.f1.charge', 'particles.f5.charge', 'particles.f2.charge', 'particles.f6.charge', 'particles.f3.charge', 'fields.m1.self_conjugate'], Passed
m1, _sort_particles, 2, 2, [], ['particles.f4', 'particles.f1', 'particles.f5', 'particles.f2', 'particles.f6', 'particles.f3'], Passed
m1, _chirality_check, 1, 1, [], [], Passed
m1, _assign_colors, 1, 1, [], [], Passed
m1, _mass_term_check, 10, 10, [], [], Passed
m2, _name_check, 1, 1, [], ['fields.m2.name'], Passed
m2, _type_check, 1, 1, [], ['fields.m2.type'], Passed
m2, _groups_check, 1, 1, [], ['fields.m2.groups'], Passed
m2, _reps_check, 3, 3, [], ['fields.m2.reps'], Passed
m2, _dim_check, 1, 1, [], ['fields.m2.dim'], Passed
m2, _gen_check, 1, 1, [], ['fields.m2.gen'], Passed
m2, _particles_check, 2, 2, [], [], Passed
m2, _self_conjugate_check, 1, 1, [], ['fields.m2.self_conjugate'], Passed
m2, _sort_reps, 3, 3, [], ['fields.m2.reps'], Passed
m2, _reps_dim_consistency, 1, 1, [], ['fields.m2.dim', 'fields.m2.reps.g2'], Passed
m2, _gen_type_consistency, 1, 1, [], ['fields.m2.gen'], Passed
m2, _allowed_charges, 1, 1, [], ['fields.m2.reps.g2', 'fields.m2.reps.g1'], Passed
m2, _deplicate_particles, 1, 1, [], ['fields.m2.particles'], Passed
m2, _particle_numbers, 1, 1, [], ['fields.m2.particles', 'fields.m2.gen', 'fields.m2.dim'], Passed
m2, _particle_types, 1, 1, [], ['fields.m2.particles'], Passed
m2, _particle_charges, 1, 1, [], ['particles.f1.charge', 'particles.f2.charge', 'particles.f3.charge', 'fields.m2.self_conjugate'], Passed
m2, _all_particle_pass, 1, 1, [], ['particles.f1.charge', 'particles.f2.charge', 'particles.f3.charge', 'fields.m2.self_conjugate'], Passed
m2, _sort_particles, 2, 2, [], ['particles.f1', 'particles.f2', 'particles.f3'], Passed
m2, _chirality_check, 1, 1, [], [], Passed
m2, _assign_colors, 1, 1, [], [], Passed
m2, _mass_term_check, 10, 10, [], [], Passed
m3, _name_check, 1, 1, [], ['fields.m3.name'], Passed
m3, _type_check, 1, 1, [], ['fields.m3.type'], Passed
m3, _groups_check, 1, 1, [], ['fields.m3.groups'], Passed
m3, _reps_check, 3, 3, [], ['fields.m3.reps'], Passed
m3, _dim_check, 1, 1, [], ['fields.m3.dim'], Passed
m3, _gen_check, 1, 1, [], ['fields.m3.gen'], Passed
m3, _particles_check, 2, 2, [], [], Passed
m3, _self_conjugate_check, 1, 1, [], ['fields.m3.self_conjugate'], Passed
m3, _sort_reps, 3, 3, [], ['fields.m3.reps'], Passed
m3, _reps_dim_consistency, 1, 1, [], ['fields.m3.dim', 'fields.m3.reps.g2'], Passed
m3, _gen_type_consistency, 1, 1, [], ['fields.m3.gen'], Passed
m3, _allowed_charges, 1, 1, [], ['fields.m3.reps.g2', 'fields.m3.reps.g1'], Passed
m3, _deplicate_particles, 1, 1, [], ['fields.m3.particles'], Passed
m3, _particle_numbers, 1, 1, [], ['fields.m3.particles', 'fields.m3.gen', 'fields.m3.dim'], Passed
m3, _particle_types, 1, 1, [], ['fields.m3.particles'], Passed
m3, _particle_charges, 1, 1, [], ['particles.f7.charge', 'particles.f8.charge', 'particles.f9.charge', 'particles.f10.charge', 'particles.f11.charge', 'particles.f12.charge', 'fields.m3.self_conjugate'], Passed
m3, _all_particle_pass, 1, 1, [], ['particles.f7.charge', 'particles.f8.charge', 'particles.f9.charge', 'particles.f10.charge', 'particles.f11.charge', 'particles.f12.charge', 'fields.m3.self_conjugate'], Passed
m3, _sort_particles, 2, 2, [], ['particles.f7', 'particles.f8', 'particles.f9', 'particles.f10', 'particles.f11', 'particles.f12'], Passed
m3, _chirality_check, 1, 1, [], [], Passed
m3, _assign_colors, 1, 1, [], [], Passed
m3, _mass_term_check, 10, 10, [], [], Passed
m4, _name_check, 1, 1, [], ['fields.m4.name'], Passed
m4, _type_check, 1, 1, [], ['fields.m4.type'], Passed
m4, _groups_check, 1, 1, [], ['fields.m4.groups'], Passed
m4, _reps_check, 3, 3, [], ['fields.m4.reps'], Passed
m4, _dim_check, 1, 1, [], ['fields.m4.dim'], Passed
m4, _gen_check, 1, 1, [], ['fields.m4.gen'], Passed
m4, _particles_check, 2, 2, [], [], Passed
m4, _self_conjugate_check, 1, 1, [], ['fields.m4.self_conjugate'], Passed
m4, _sort_reps, 3, 3, [], ['fields.m4.reps'], Passed
m4, _reps_dim_consistency, 1, 1, [], ['fields.m4.dim', 'fields.m4.reps.g2'], Passed
m4, _gen_type_consistency, 1, 1, [], ['fields.m4.gen'], Passed
m4, _allowed_charges, 1, 1, [], ['fields.m4.reps.g2', 'fields.m4.reps.g1'], Passed
m4, _deplicate_particles, 1, 1, [], ['fields.m4.particles'], Passed
m4, _particle_numbers, 1, 1, [], ['fields.m4.particles', 'fields.m4.gen', 'fields.m4.dim'], Passed
m4, _particle_types, 1, 1, [], ['fields.m4.particles'], Passed
m4, _particle_charges, 1, 1, [], ['particles.f7.charge', 'particles.f9.charge', 'particles.f11.charge', 'fields.m4.self_conjugate'], Passed
m4, _all_particle_pass, 1, 1, [], ['particles.f7.charge', 'particles.f9.charge', 'particles.f11.charge', 'fields.m4.self_conjugate'], Passed
m4, _sort_particles, 2, 2, [], ['particles.f7', 'particles.f9', 'particles.f11'], Passed
m4, _chirality_check, 1, 1, [], [], Passed
m4, _assign_colors, 1, 1, [], [], Passed
m4, _mass_term_check, 10, 10, [], [], Passed
m5, _name_check, 1, 1, [], ['fields.m5.name'], Passed
m5, _type_check, 1, 1, [], ['fields.m5.type'], Passed
m5, _groups_check, 1, 1, [], ['fields.m5.groups'], Passed
m5, _reps_check, 3, 3, [], ['fields.m5.reps'], Passed
