id, check, score, max_score, error_var, message
m6, _sort_reps, 1, 1, [], Passed
m6, _reps_dim_consistency, 1, 1, [], Passed
m6, _gen_type_consistency, 1, 1, [], Passed
m6, _allowed_charges, 1, 1, [], Passed
m6, _deplicate_particles, 1, 1, [], Passed
m6, _particle_numbers, 1, 1, [], Passed
m6, _particle_types, 1, 1, [], Passed
m6, _particle_charges, 1, 1, [], Passed
m6, _all_particle_pass, 1, 1, [], Passed
m6, _sort_particles, 2, 2, [], Passed
m6, _mass_term_check, 10, 10, [], Passed
m6, _potential_term_check, 10, 10, [], Passed
m1, _sort_reps, 1, 1, [], Passed
m1, _reps_dim_consistency, 1, 1, [], Passed
m1, _gen_type_consistency, 1, 1, [], Passed
m1, _allowed_charges, 1, 1, [], Passed
m1, _deplicate_particles, 1, 1, [], Passed
m1, _particle_numbers, 1, 1, [], Passed
m1, _particle_types, 1, 1, [], Passed
m1, _particle_charges, 1, 1, [], Passed
m1, _all_particle_pass, 1, 1, [], Passed
m1, _sort_particles, 2, 2, [], Passed
m1, _assign_colors, 1, 1, [], Passed
m1, _mass_term_check, 10, 10, [], Passed
m2, _sort_reps, 1, 1, [], Passed
m2, _reps_dim_consistency, 1, 1, [], Passed
m2, _gen_type_consistency, 1, 1, [], Passed
m2, _allowed_charges, 1, 1, [], Passed
m2, _deplicate_particles, 1, 1, [], Passed
m2, _particle_numbers, 1, 1, [], Passed
m2, _particle_types, 1, 1, [], Passed
m2, _particle_charges, 1, 1, [], Passed
m2, _all_particle_pass, 1, 1, [], Passed
m2, _sort_particles, 2, 2, [], Passed
m2, _assign_colors, 1, 1, [], Passed
m2, _mass_term_check, 10, 10, [], Passed
m3, _sort_reps, 1, 1, [], Passed
m3, _reps_dim_consistency, 1, 1, [], Passed
m3, _gen_type_consistency, 1, 1, [], Passed
m3, _allowed_charges, 1, 1, [], Passed
m3, _deplicate_particles, 1, 1, [], Passed
m3, _particle_numbers, 1, 1, [], Passed
m3, _particle_types, 1, 1, [], Passed
m3, _particle_charges, 1, 1, [], Passed
m3, _all_particle_pass, 1, 1, [], Passed
m3, _sort_particles, 2, 2, [], Passed
m3, _assign_colors, 1, 1, [], Passed
m3, _mass_term_check, 10, 10, [], Passed
m4, _sort_reps, 1, 1, [], Passed
m4, _reps_dim_consistency, 1, 1, [], Passed
m4, _gen_type_consistency, 1, 1, [], Passed
m4, _allowed_charges, 1, 1, [], Passed
m4, _deplicate_particles, 1, 1, [], Passed
m4, _particle_numbers, 1, 1, [], Passed
m4, _particle_types, 1, 1, [], Passed
m4, _particle_charges, 1, 1, [], Passed
m4, _all_particle_pass, 1, 1, [], Passed
m4, _sort_particles, 2, 2, [], Passed
m4, _assign_colors, 1, 1, [], Passed
m4, _mass_term_check, 10, 10, [], Passed
m5, _sort_reps, 1, 1, [], Passed
m5, _reps_dim_consistency, 1, 1, [], Passed
m5, _gen_type_consistency, 1, 1, [], Passed
m5, _allowed_charges, 1, 1, [], Passed
m5, _deplicate_particles, 1, 1, [], Passed
m5, _particle_numbers, 1, 1, [], Passed
m5, _particle_types, 1, 1, [], Passed
m5, _particle_charges, 1, 1, [], Passed
m5, _all_particle_pass, 1, 1, [], Passed
m5, _sort_particles, 2, 2, [], Passed
m5, _assign_colors, 1, 1, [], Passed
m5, _mass_term_check, 0, 10, ['interactions'], this field is massive, but no mass term is defined
i1, _id_check, 1, 1, [], Passed
i1, _field_length_check, 1, 1, [], Passed
i1, _field_check, 1, 1, [], Passed
i1, _params_check, 1, 1, [], Passed
i1, _all_field_pass_checks, 1, 1, [], Passed
i1, _check_replicate_fields, 1, 1, [], Passed
i1, _sort_field, 1, 1, [], Passed
i1, _gen_check, 1, 1, [], Passed
i1, _dim_check, 1, 1, [], Passed
i1, _dirac_bilinear_product, 1, 1, [], Passed
i1, _get_massive_particles, 1, 1, [], Passed
i1, _check_U1Y_gauge_symmetry, 1, 1, [], Passed
i1, _yukawa_mass, 1, 1, [], Passed
i1, _yukawa_matrix, 1, 1, [], Passed
i1, _mixing_matrix, 1, 1, [], Passed
i1, _yukawa_lagrangian, 1, 1, [], Passed
i2, _id_check, 1, 1, [], Passed
i2, _field_length_check, 1, 1, [], Passed
i2, _field_check, 1, 1, [], Passed
i2, _params_check, 1, 1, [], Passed
i2, _all_field_pass_checks, 1, 1, [], Passed
i2, _check_replicate_fields, 1, 1, [], Passed
i2, _sort_field, 1, 1, [], Passed
i2, _gen_check, 1, 1, [], Passed
i2, _dim_check, 1, 1, [], Passed
i2, _dirac_bilinear_product, 1, 1, [], Passed
i2, _get_massive_particles, 1, 1, [], Passed
i2, _check_U1Y_gauge_symmetry, 1, 1, [], Passed
i2, _yukawa_mass, 1, 1, [], Passed
i2, _yukawa_matrix, 1, 1, [], Passed
i2, _mixing_matrix, 1, 1, [], Passed
i2, _yukawa_lagrangian, 1, 1, [], Passed
i4, _id_check, 1, 1, [], Passed
i4, _field_length_check, 1, 1, [], Passed
i4, _field_check, 1, 1, [], Passed
i4, _params_check, 1, 1, [], Passed
i4, _all_field_pass_checks, 1, 1, [], Passed
i4, _check_replicate_fields, 1, 1, [], Passed
i4, _sort_field, 1, 1, [], Passed
i4, _scalar_mass, 1, 1, [], Passed
i4, _scalar_quartic, 1, 1, [], Passed
i4, _scalar_lagrangian, 1, 1, [], Passed
