id, check, score, max_score, error_var, message
i2, _yukawa_matrix, 0, 1, [], Skipped due to previous check failure
i2, _mixing_matrix, 0, 1, [], Skipped due to previous check failure
i2, _yukawa_lagrangian, 0, 1, [], Skipped due to previous check failure
i4, _id_check, 1, 1, [], Passed
i4, _field_length_check, 1, 1, [], Passed
i4, _field_check, 1, 1, [], Passed
i4, _params_check, 1, 1, [], Passed
i4, _all_field_pass_checks, 0, 1, ['field:m6'], Fields failed checks: ['field:m6']
i4, _check_replicate_fields, 0, 1, [], Skipped due to previous check failure
i4, _sort_field, 0, 1, [], Skipped due to previous check failure
i4, _scalar_mass, 0, 1, [], Skipped due to previous check failure
i4, _scalar_quartic, 0, 1, [], Skipped due to previous check failure
i4, _scalar_lagrangian, 0, 1, [], Skipped due to previous check failure
