id, check, score, max_score, error_var, good_var, message
m1, _self_conjugate_check, 1, 1, [], ['fields.m1.self_conjugate'], Passed, field
m1, _particle_list_check, 1, 1, [], ['fields.m1.particles'], Passed, field
m1, _all_particle_pass, 1, 1, [], ['particles.f4', 'particles.f1', 'particles.f5', 'particles.f2', 'particles.f6', 'particles.f3'], Passed, field
m1, _particle_type_check, 1, 1, [], ['particles.f4', 'particles.f1', 'particles.f5', 'particles.f2', 'particles.f6', 'particles.f3'], Passed, field
m1, _particle_number_check, 1, 1, [], ['fields.m1.particles', 'fields.m1.dim', 'fields.m1.gen'], Passed, field
m1, _particle_field_consistency, 1, 1, [], ['fields.m1.f4', 'fields.m1.f1', 'fields.m1.f5', 'fields.m1.f2', 'fields.m1.f6', 'fields.m1.f3'], Passed, field
m1, _gen_type_consistency, 1, 1, [], ['fields.m1.gen'], Passed, field
m1, _sort_reps, 1, 1, [], ['fields.m1.reps'], Passed, field
m1, _reps_dim_consistency, 1, 1, [], ['fields.m1.dim', 'fields.m1.reps.g2'], Passed, field
m1, _conj_charges_consistency, 1, 1, [], ['particles.f4.charge', 'particles.f1.charge', 'particles.f5.charge', 'particles.f2.charge', 'particles.f6.charge', 'particles.f3.charge', 'fields.m1.self_conjugate'], Passed, field
m1, _rep_charge_consistency, 1, 1, [], ['particles.f4.charge', 'particles.f1.charge', 'particles.f5.charge', 'particles.f2.charge', 'particles.f6.charge', 'particles.f3.charge'], Passed, field
m1, _sort_particles, 1, 1, [], ['particles.f4', 'particles.f1', 'particles.f5', 'particles.f2', 'particles.f6', 'particles.f3'], Passed, field
m1, _chirality_check, 1, 1, [], ['fields.m1.chirality'], Passed, field
m1, _assign_colors, 1, 1, [], ['fields.m1.reps.g3'], Passed, field
m1, _mass_term_check, 10, 10, [], ['interactions.i1'], Passed, field
m2, _name_check, 1, 1, [], ['fields.m2.name'], Passed, field
m2, _type_check, 1, 1, [], ['fields.m2.type'], Passed, field
