id, check, score, error_var, message
i1, _check_replicate_fields, 0, [], Skipped due to previous check failure
i1, _sort_field, 0, [], Skipped due to previous check failure
i1, _gen_check, 0, [], Skipped due to previous check failure
i1, _dim_check, 0, [], Skipped due to previous check failure
i1, _dirac_bilinear_product, 0, [], Skipped due to previous check failure
i1, _get_massive_particles, 0, [], Skipped due to previous check failure
i1, _check_U1Y_gauge_symmetry, 0, [], Skipped due to previous check failure
i1, _yukawa_mass, 0, [], Skipped due to previous check failure
i1, _yukawa_matrix, 0, [], Skipped due to previous check failure
i1, _mixing_matrix, 0, [], Skipped due to previous check failure
i1, _yukawa_lagrangian, 0, [], Skipped due to previous check failure
i2, _id_check, 1, [], Passed
i2, _field_length_check, 1, [], Passed
i2, _field_check, 1, [], Passed
i2, _params_check, 1, [], Passed
i2, _all_field_pass_checks, 0, ['field:m6'], Fields failed checks: ['field:m6']
i2, _check_replicate_fields, 0, [], Skipped due to previous check failure
i2, _sort_field, 0, [], Skipped due to previous check failure
i2, _gen_check, 0, [], Skipped due to previous check failure
i2, _dim_check, 0, [], Skipped due to previous check failure
i2, _dirac_bilinear_product, 0, [], Skipped due to previous check failure
i2, _get_massive_particles, 0, [], Skipped due to previous check failure
i2, _check_U1Y_gauge_symmetry, 0, [], Skipped due to previous check failure
i2, _yukawa_mass, 0, [], Skipped due to previous check failure
i2, _yukawa_matrix, 0, [], Skipped due to previous check failure
i2, _mixing_matrix, 0, [], Skipped due to previous check failure
i2, _yukawa_lagrangian, 0, [], Skipped due to previous check failure
i3, _id_check, 1, [], Passed
i3, _field_length_check, 1, [], Passed
i3, _field_check, 1, [], Passed
i3, _params_check, 1, [], Passed
i3, _all_field_pass_checks, 0, ['field:m6'], Fields failed checks: ['field:m6']
i3, _check_replicate_fields, 0, [], Skipped due to previous check failure
i3, _sort_field, 0, [], Skipped due to previous check failure
i3, _gen_check, 0, [], Skipped due to previous check failure
i3, _dim_check, 0, [], Skipped due to previous check failure
i3, _dirac_bilinear_product, 0, [], Skipped due to previous check failure
i3, _get_massive_particles, 0, [], Skipped due to previous check failure
i3, _check_U1Y_gauge_symmetry, 0, [], Skipped due to previous check failure
i3, _yukawa_mass, 0, [], Skipped due to previous check failure
i3, _yukawa_matrix, 0, [], Skipped due to previous check failure
i3, _mixing_matrix, 0, [], Skipped due to previous check failure
i3, _yukawa_lagrangian, 0, [], Skipped due to previous check failure
i4, _id_check, 1, [], Passed
i4, _field_length_check, 1, [], Passed
i4, _field_check, 1, [], Passed
i4, _params_check, 1, [], Passed
i4, _all_field_pass_checks, 0, ['field:m6'], Fields failed checks: ['field:m6']
i4, _check_replicate_fields, 0, [], Skipped due to previous check failure
i4, _sort_field, 0, [], Skipped due to previous check failure
i4, _scalar_mass, 0, [], Skipped due to previous check failure
i4, _scalar_quartic, 0, [], Skipped due to previous check failure
i4, _scalar_lagrangian, 0, [], Skipped due to previous check failure
